# full_idealized_MIEZE_4p5A_sx_sy_sz_300kHz# t, y, Sx, Sy, Sz
0.002275005719883051, 2.0, 0.0, 0.0, 1.0
0.002276005719883051, 2.0008791186688106, 0.0, 0.0, 1.0
0.0022860057198830523, 2.0096703053569174, 0.0, 0.0, 1.0
0.0023260057198830524, 2.04483505210934, 0.0, 0.0, 1.0
0.0023660057198830525, 2.0799997988617625, 0.0, 0.0, 1.0
0.0024060057198830526, 2.115164545614185, 0.0, 0.0, 1.0
0.0024460057198830527, 2.1503292923666075, 0.0, 0.0, 1.0
0.002486005719883053, 2.18549403911903, 0.0, 0.0, 1.0
0.002526005719883053, 2.2206587858714526, 0.0, 0.0, 1.0
0.002566005719883053, 2.255823532623875, 0.0, 0.0, 1.0
0.002606005719883053, 2.2909882793762977, 0.0, 0.0, 1.0
0.0026460057198830532, 2.32615302612872, 0.0, 0.0, 1.0
0.0026860057198830533, 2.3613177728811428, 0.0, 0.0, 1.0
0.0027260057198830534, 2.3964825196335653, 0.0, 0.0, 1.0
0.0027660057198830535, 2.431647266385988, 0.0, 0.0, 1.0
0.0028060057198830536, 2.4668120131384104, 0.0, 0.0, 1.0
0.002814005719883054, 2.4738449624888954, 0.0, 0.0, 1.0
0.002822005719883054, 2.48087791183938, 0.0, 0.0, 1.0
0.0028334840438113146, 2.490968720691369, 0.0, 0.0, 1.0
0.0028358311652392316, 2.493032118956616, 0.0, 0.0, 1.0
0.0028381782866671486, 2.495095517221863, 0.0, 0.0, 1.0
0.0028411569910571912, 2.4977141518600177, 0.0, 0.0, 1.0
0.002841830807357089, 2.4983065163486065, 0.0, 0.0, 1.0
0.0028425046236569863, 2.4988988808371952, 0.0, 0.0, 1.0
0.002843590200259093, 2.499853231494531, 0.0, 0.0, 1.0
0.0028436657992581722, 2.4999196919859648, 0.0, 0.0, 1.0
0.0028437413982572513, 2.4999861524773985, 0.0, 0.0, 1.0
0.0028438139756821715, 2.5000499566465804, -0.00012433598291668792, 8.606095752199274e-06, 0.9999999923113625
0.0028438797762189243, 2.5001078031268573, -0.0002483670310127181, 1.7191090634040663e-05, 0.999999969087255
0.0028445377815864525, 2.500686267929629, -0.0014886755738006976, 0.00010304103925727566, 0.9999988866912837
0.0028511178352617346, 2.506470915957345, -0.01389117333352909, 0.000961540361727695, 0.999903050750309
0.0028911178352617347, 2.5416356627097674, -0.08916311083365919, 0.006180295757404824, 0.9959978632829326
0.002931117835261735, 2.57680040946219, -0.16391191465635027, 0.011398862585970185, 0.9864091190352884
0.002971117835261735, 2.6119651562146124, -0.23770726529637043, 0.01661708162476172, 0.9711946913319627
0.003011117835261735, 2.647129902967035, -0.3101247000817867, 0.02183479366172866, 0.9504451125288835
0.003051117835261735, 2.6822946497194575, -0.38074809689951433, 0.027051839500289276, 0.9242830109493283
0.003091117835261735, 2.71745939647188, -0.44917210555954734, 0.03226805996418816, 0.8928623586160053
0.0031311178352617353, 2.7526241432243026, -0.5150045123662534, 0.03748329590235271, 0.8563675345365706
0.0031711178352617354, 2.787788889976725, -0.5778685238899959, 0.04269738819374899, 0.8150122094016975
0.0032111178352617355, 2.8229536367291477, -0.6374049564413794, 0.047910177752236716, 0.7690380586191254
0.0032511178352617356, 2.85811838348157, -0.6932743183403349, 0.05312150553142297, 0.7187133116275481
0.0032911178352617357, 2.8932831302339928, -0.745158772739309, 0.05833121252951492, 0.6643311464046129
0.003331117835261736, 2.9284478769864153, -0.7927639694997761, 0.06353913979417114, 0.6062079389978638
0.003371117835261736, 2.963612623738838, -0.8358207354294933, 0.06874512842735117, 0.5446813787607114
0.003411117835261736, 2.9987773704912604, -0.874086613059281, 0.07394901959016391, 0.4801084607623505
0.003451117835261736, 3.033942117243683, -0.9073472390672059, 0.07915065450771366, 0.4128633675563356
0.0034911178352617363, 3.0691068639961054, -0.9354175544390546, 0.08434987447394462, 0.3433352531330213
0.0035311178352617364, 3.104271610748528, -0.9581428394808298, 0.08954652085648314, 0.2719259424425517
0.0035711178352617365, 3.1394363575009505, -0.9753995678653041, 0.09474043510147766, 0.1990475603542894
0.0036111178352617366, 3.174601104253373, -0.9870960749938342, 0.0999314587384363, 0.12512010431276283
0.0036511178352617367, 3.2097658510057956, -0.9931730370798879, 0.105119433385062, 0.05056897525718243
0.0036911178352617368, 3.244930597758218, -0.9936037585051473, 0.11030420075208483, -0.024177518410339674
0.003731117835261737, 3.2800953445106407, -0.988394266155587, 0.11548560264809155, -0.09869066889465301
0.003771117835261737, 3.315260091263063, -0.9775832106065144, 0.12066348098435216, -0.1725438741647879
0.003811117835261737, 3.3504248380154857, -0.9612415751850898, 0.12583767777964325, -0.24531512530085886
0.003851117835261737, 3.3855895847679083, -0.939472195089263, 0.1310080351650683, -0.3165894612760529
0.0038911178352617373, 3.420754331520331, -0.9124090898763687, 0.13617439538887416, -0.3859613766510852
0.003931117835261737, 3.4559190782727534, -0.880216613745941, 0.1413366008212643, -0.4530371679777517
0.003971117835261737, 3.491083825025176, -0.8430884291229293, 0.14649449395920844, -0.5174372051125434
0.004011117835261737, 3.5262485717775984, -0.8012463100929061, 0.15164791743124756, -0.5787981141279896
0.004051117835261737, 3.561413318530021, -0.7549387832437602, 0.1567967140022959, -0.636774859075331
0.004091117835261737, 3.5965780652824435, -0.7044396144228086, 0.1619407265784381, -0.6910427104935316
0.0041311178352617375, 3.631742812034866, -0.6500461508185168, 0.16707979821172247, -0.7412990892724708
0.004171117835261738, 3.6669075587872886, -0.5920775286167798, 0.1722137721049493, -0.7872652752578194
