#full_idealized_MIEZE_4p5A_sx_sy_sz_300kHz_M2# t, y, Sx, Sy, Sz
0.051090999999998596, 44.915051908199146, 0.6154370258721364, 3.6895492684270685e-06, -0.7881859488363443
0.051130999999998594, 44.95021665495157, 0.6154370258721364, 3.6895492684270685e-06, -0.7881859488363443
0.05117099999999859, 44.98538140170399, 0.6154370258721364, 3.6895492684270685e-06, -0.7881859488363443
0.05118441929532446, 44.997178554747244, 0.6154370258721364, 3.6895492684270685e-06, -0.7881859488363443
0.051187505974783026, 44.9998921122839, 0.6154370258721364, 3.6895492684270685e-06, -0.7881859488363443
0.05118805706532602, 45.00037658626845, 0.6155141157607472, -5.651233466586569e-05, -0.78812574695241
0.05118855943697562, 45.00081823056429, 0.6155914262798211, -0.00011690341356704431, -0.7880653558735088
0.05119358315347161, 45.005234673522736, 0.6163638794462918, -0.0007212311445868632, -0.787461028142489
0.05123358315347161, 45.04039942027516, 0.6224718733322359, -0.005559951430972045, -0.7826223078561038
0.05127358315347161, 45.07556416702758, 0.6285038993319939, -0.010446088947903175, -0.7777361703391726
0.051313583153471606, 45.110728913779994, 0.6344592212833645, -0.01537904738002099, -0.7728032119070548
0.051353583153471605, 45.145893660532415, 0.6403371123852831, -0.020358224697835027, -0.7678240345892408
0.0513935831534716, 45.18105840728484, 0.6461368552865224, -0.025383013231196665, -0.7627992460558791
0.0514335831534716, 45.21622315403726, 0.6518577421732398, -0.03045279974346058, -0.7577294595436153
0.0514735831534716, 45.25138790078968, 0.6574990748553602, -0.03556696550632554, -0.7526152937807503
0.0515135831534716, 45.2865526475421, 0.6630601648517853, -0.04072488637534542, -0.7474573729117304
0.0515535831534716, 45.321717394294524, 0.6685403334744168, -0.045925932866101214, -0.7422563264209746
0.051593583153471595, 45.356882141046945, 0.6739389119109852, -0.051169470231024736, -0.737012789056051
0.05163358315347159, 45.39204688779937, 0.6792552413066737, -0.056454858536864674, -0.7317274007502111
0.05167358315347159, 45.42721163455179, 0.6844886728445254, -0.06178145274278551, -0.7264008065442903
0.05171358315347159, 45.46237638130421, 0.6896385678246273, -0.06714860277908974, -0.721033656507986
0.05175358315347159, 45.497541128056625, 0.6947042977420581, -0.0725556536265539, -0.7156266056605218
0.05179358315347159, 45.53270587480905, 0.6996852443635928, -0.0780019453963686, -0.7101803138907071
0.051833583153471585, 45.56787062156147, 0.7045807998031528, -0.0834868134106728, -0.7046954458764029
0.051873583153471584, 45.60303536831389, 0.7093903665959941, -0.08900958828367271, -0.699172671003403
0.05191358315347158, 45.63820011506631, 0.7141133577716231, -0.09456959600333509, -0.6936126632837406
0.05195358315347158, 45.67336486181873, 0.7187491969254319, -0.1001661580136452, -0.6880161012734305
0.05199358315347158, 45.708529608571155, 0.7232973182890441, -0.10579859129741939, -0.6823836679896563
0.05203358315347158, 45.743694355323576, 0.727757166799362, -0.11146620845966203, -0.6767160508274137
0.052073583153471575, 45.778859102076, 0.7321281981663084, -0.11716831781145676, -0.671013941475619
0.052113583153471574, 45.81402384882842, 0.7364098789392527, -0.1229042234543818, -0.665278035832694
0.05215358315347157, 45.84918859558084, 0.7406016865721143, -0.12867322536543896, -0.6595090339216368
0.05219358315347157, 45.88435334233326, 0.7447031094871356, -0.13447461948248607, -0.6537076398045898
0.05223358315347157, 45.91951808908568, 0.7487136471373158, -0.14030769779016228, -0.6478745614969136
0.05227358315347157, 45.9546828358381, 0.7526328100674993, -0.14617174840629593, -0.64201051088078
0.052313583153471566, 45.98984758259052, 0.7564601199741091, -0.15206605566878423, -0.6361162036182917
0.052353583153471564, 46.02501232934294, 0.7601951097635211, -0.1579899002229343, -0.6301923590641416
0.05239358315347156, 46.060177076095364, 0.7638373236090683, -0.1639425591092549, -0.624239700177821
0.05243358315347156, 46.095341822847786, 0.7673863170066715, -0.16992330585168797, -0.618258953435388
0.05247358315347156, 46.13050656960021, 0.7708416568290875, -0.17593141054626948, -0.6122508487408065
0.05251358315347156, 46.16567131635263, 0.7742029213787687, -0.1819661399502086, -0.6062161193368674
0.052553583153471556, 46.20083606310505, 0.7774697004393284, -0.18802675757137424, -0.6001555017157018
0.052593583153471554, 46.23600080985747, 0.7806415953256043, -0.19411252375817828, -0.5940697355288977
0.05263358315347155, 46.271165556609894, 0.783718218932315, -0.20022269578984436, -0.5879595634972317
0.05267358315347155, 46.30633030336231, 0.786699195781303, -0.20635652796705117, -0.5818257313200248
0.05271358315347155, 46.34149505011473, 0.7895841620673594, -0.21251327170293932, -0.5756689875841366
0.05275358315347155, 46.37665979686715, 0.792372765702623, -0.21869217561447057, -0.5694900836726055
0.052793583153471546, 46.41182454361957, 0.7950646663595504, -0.2248924856141283, -0.5632897736729477
0.052833583153471544, 46.446989290371995, 0.79765953551245, -0.2311134450019482, -0.5570688142851279
0.05287358315347154, 46.48215403712442, 0.8001570564775757, -0.23735429455786744, -0.5508279647292087
0.05291358315347154, 46.51731878387684, 0.8025569244517767, -0.24361427263438185, -0.5445679866526943
0.05295358315347154, 46.55248353062926, 0.8048588465496956, -0.24989261524949893, -0.5382896440375773
0.05299358315347154, 46.58764827738168, 0.8070625418395129, -0.2561885561799761, -0.5319937031071001
0.053033583153471536, 46.6228130241341, 0.8091677413772325, -0.2625013270548322, -0.5256809322322441
0.053073583153471535, 46.657977770886525, 0.8111741882395047, -0.2688301574491213, -0.519352101837955
0.05311358315347153, 46.69314251763894, 0.8130816375549812, -0.2751742749779572, -0.5130079843091191
0.05315358315347153, 46.72830726439136, 0.8148898565342, -0.28153290539077686, -0.5066493538962994
