# full_idealized_MIEZE_4p5A_sx_sy_sz_417p1kHz# t, y, Sx, Sy, Sz
2.1246806410748396, 1867.8464168292828, -0.4104866338118667, 0.17538802860568625, 0.8948406423116558
2.1247206410748394, 1867.881581576035, -0.5009802893084931, 0.17989748170972059, 0.8465551708860568
2.124760641074839, 1867.9167463227873, -0.5858620531714261, 0.18440144599323943, 0.7891525658780375
2.124800641074839, 1867.9519110695394, -0.664217460441322, 0.188899784036681, 0.723278678662231
2.124840641074839, 1867.9870758162917, -0.7352057649460667, 0.1933923585921419, 0.6496705998508363
2.1248806410748386, 1868.022240563044, -0.7980689852612319, 0.19787903258756845, 0.5691483040657981
2.1249206410748385, 1868.0574053097962, -0.852140009521417, 0.20235966913093925, 0.4826054046431113
2.1249606410748383, 1868.0925700565485, -0.8968496723141699, 0.2068341315144385, 0.3909991237011259
2.125000641074838, 1868.1277348033009, -0.9317327286404906, 0.21130228321862973, 0.2953395913666382
2.125040641074838, 1868.162899550053, -0.956432662472437, 0.2157639879166214, 0.19667859501046123
2.1250806410748377, 1868.1980642968053, -0.9707052806350116, 0.2202191094782237, 0.09609790502402131
2.1251206410748376, 1868.2332290435577, -0.9744210564355005, 0.22466751197410428, -0.005302692087823621
2.1251606410748374, 1868.2683937903098, -0.9675662015029821, 0.22910905967993594, -0.10641751975682795
2.125200641074837, 1868.3035585370621, -0.9502424585248359, 0.23354361708053503, -0.20614716174045195
2.125240641074837, 1868.3387232838145, -0.9226656218153771, 0.23797104887399842, -0.3034105022939475
2.125280641074837, 1868.3738880305666, -0.8851628067643018, 0.24239121997583205, -0.3971565233185526
2.1253206410748366, 1868.409052777319, -0.8381685030317336, 0.2468039955230697, -0.486375728903419
2.1253606410748365, 1868.444217524071, -0.7822194597286577, 0.25120924087839025, -0.5701110723361225
2.1254006410748363, 1868.4793822708234, -0.717948463598469, 0.2556068216342258, -0.6474682666879971
2.125440641074836, 1868.5145470175758, -0.6460770832567017, 0.2599966036168587, -0.7176253674123514
2.125480641074836, 1868.5497117643279, -0.5674074637201216, 0.2643784528905226, -0.7798415239378046
2.1255206410748357, 1868.5848765110802, -0.4828132656420705, 0.2687522357614807, -0.8334648068942396
2.1255606410748356, 1868.6200412578326, -0.3932298527586573, 0.27311781878210994, -0.8779390282619172
2.1256006410748354, 1868.6552060045847, -0.29964383894356283, 0.27747506875497296, -0.9128094832611188
2.125640641074835, 1868.690370751337, -0.2030821128850568, 0.2818238527368776, -0.9377275550671039
2.125680641074835, 1868.7255354980894, -0.10460046366942283, 0.286164038042937, -0.9524541363022688
2.125720641074835, 1868.7607002448415, -0.0052719344278939345, 0.2904954922506186, -0.9568618345772745
2.1257606410748346, 1868.7958649915938, 0.09382496635710239, 0.29481808320378, -0.9509359429742863
2.1258006410748345, 1868.8310297383462, 0.19161806530625417, 0.2991316790167048, -0.9347741701344463
2.1258406410748343, 1868.8661944850983, 0.28705320625181874, 0.3034361480781273, -0.9085851383735378
2.125880641074834, 1868.9013592318506, 0.37910568581293413, 0.3077313590552437, -0.8726856718506258
2.125920641074834, 1868.9365239786027, 0.4667913175861441, 0.3120171808977228, -0.8274969101030147
2.1259606410748337, 1868.971688725355, 0.5491770048070042, 0.3162934828417053, -0.7735392950902592
2.1260006410748336, 1869.0068534721074, 0.6253907073582502, 0.3205601344137888, -0.7114264921191864
2.1260406410748334, 1869.0420182188595, 0.6946306962574932, 0.32481700543501263, -0.6418583165174762
2.126080641074833, 1869.0771829656119, 0.7561739971650442, 0.32906396602483, -0.5656127485608388
2.126120641074833, 1869.1123477123642, 0.8093839339101666, 0.3333008866050675, -0.4835371288240221
2.126160641074833, 1869.1475124591163, 0.853716693430422, 0.3375276379038812, -0.39653863471617645
2.1262006410748326, 1869.1826772058687, 0.8887268447325704, 0.341744090959701, -0.3055741463865722
2.1262406410748325, 1869.217841952621, 0.9140717563849863, 0.345950117125163, -0.2116396163708933
2.1262806410748323, 1869.2530066993731, 0.9295148695040412, 0.3501455880710368, -0.11575906222933036
2.126320641074832, 1869.2881714461255, 0.9349277960583249, 0.3543303757901412, -0.018973304958473297
2.126360641074832, 1869.3233361928778, 0.9302912254391128, 0.35850435260124724, 0.07767142189207972
2.1264006410748317, 1869.35850093963, 0.9156946354852185, 0.36266739115297614, 0.1731348667163142
